Attributes,Adj Close,Close,High,Low,Open,Volume
Symbols,2330.TW,2330.TW,2330.TW,2330.TW,2330.TW,2330.TW
Date,,,,,,
2021-07-23,570.42041015625,585.0,592.0,583.0,592.0,15271451.0
2021-07-26,565.5451049804688,580.0,591.0,580.0,591.0,21619179.0
2021-07-27,565.5451049804688,580.0,584.0,580.0,581.0,17785992.0
2021-07-28,564.5700073242188,579.0,579.0,573.0,576.0,36158305.0
2021-07-29,568.4702758789062,583.0,585.0,577.0,585.0,23224896.0
2021-07-30,565.5451049804688,580.0,582.0,578.0,581.0,18999281.0
2021-08-02,575.2957763671875,590.0,590.0,580.0,583.0,23482491.0
2021-08-03,579.1961059570312,594.0,594.0,590.0,594.0,22747702.0
2021-08-04,581.1463012695312,596.0,598.0,594.0,598.0,20313271.0
2021-08-05,581.1463012695312,596.0,598.0,593.0,598.0,15116242.0
2021-08-06,576.2709350585938,591.0,596.0,588.0,596.0,13687213.0
2021-08-09,580.1712646484375,595.0,595.0,583.0,590.0,17390951.0
2021-08-10,576.2709350585938,591.0,596.0,589.0,596.0,17190865.0
2021-08-11,575.2957763671875,590.0,590.0,585.0,590.0,19969687.0
2021-08-12,571.3955078125,586.0,588.0,584.0,586.0,15444622.0
2021-08-13,566.5200805664062,581.0,585.0,579.0,585.0,22524428.0
2021-08-16,569.4453735351562,584.0,586.0,578.0,582.0,19315705.0
2021-08-17,569.4453735351562,584.0,584.0,584.0,584.0,0.0
2021-08-18,559.694580078125,574.0,575.0,566.0,568.0,43716164.0
2021-08-19,545.068359375,559.0,573.0,559.0,573.0,38868947.0
2021-08-20,538.242919921875,552.0,563.0,551.0,560.0,45614061.0
2021-08-23,551.8938598632812,566.0,572.0,559.0,560.0,33685159.0
2021-08-24,557.7444458007812,572.0,575.0,571.0,574.0,24844800.0
2021-08-25,570.42041015625,585.0,585.0,574.0,579.0,27504657.0
2021-08-26,579.1961059570312,594.0,603.0,591.0,601.0,43822008.0
2021-08-27,584.0715942382812,599.0,600.0,593.0,596.0,27105651.0
2021-08-30,589.9219360351562,605.0,605.0,599.0,602.0,36575609.0
2021-08-31,598.6976318359375,614.0,614.0,598.0,604.0,52721470.0
2021-09-01,597.7225952148438,613.0,614.0,608.0,614.0,30092045.0
2021-09-02,591.8721313476562,607.0,615.0,607.0,613.0,24112463.0
2021-09-03,604.548095703125,620.0,620.0,610.0,610.0,51562454.0
2021-09-06,615.2740478515625,631.0,638.0,621.0,623.0,55589014.0
2021-09-07,607.473388671875,623.0,634.0,623.0,634.0,26526056.0
2021-09-08,603.5730590820312,619.0,627.0,612.0,622.0,37817737.0
2021-09-09,603.5730590820312,619.0,620.0,610.0,612.0,18735512.0
2021-09-10,606.498291015625,622.0,623.0,614.0,615.0,16304725.0
2021-09-13,599.6727294921875,615.0,620.0,613.0,619.0,15198774.0
2021-09-14,597.7225952148438,613.0,618.0,612.0,618.0,14441901.0
2021-09-15,591.8721313476562,607.0,613.0,607.0,610.0,23433501.0
2021-09-16,587.709228515625,600.0,607.0,599.0,603.0,22467022.0
2021-09-17,587.709228515625,600.0,610.0,599.0,600.0,40717715.0
2021-09-22,573.9960327148438,586.0,589.0,583.0,586.0,40642293.0
2021-09-23,575.955078125,588.0,593.0,588.0,588.0,21696296.0
2021-09-24,585.7501831054688,598.0,598.0,590.0,591.0,16736973.0
2021-09-27,589.6681518554688,602.0,602.0,593.0,600.0,19464241.0
2021-09-28,581.8320922851562,594.0,596.0,592.0,595.0,16707080.0
2021-09-29,568.118896484375,580.0,583.0,577.0,580.0,49310524.0
