Date,Close,High,Low,Open,Volume,prediction
2021/9/24,260,267,259,262,8007932,0
2021/9/27,258,260.5,256,257,6111931,0
2021/9/28,252.5,258,251,257,5582900,0
2021/9/29,248.5,250,247,250,7186676,0
2021/9/30,252,253,248,248,6903790,0
2021/10/1,248,252.5,245.5,252,6207548,0
2021/10/4,240,247,239,246.5,7434328,1
2021/10/5,245,247,237,238,8903015,0
2021/10/6,244.5,247,241,245.5,5889341,0
2021/10/7,248.5,251.5,246,248,3907186,0
2021/10/8,250.5,253,249.5,252,3262048,0
2021/10/12,247,248.5,240,247,4823574,0
2021/10/13,246.5,251,245.5,249,4124746,0
2021/10/14,235.5,244.5,235.5,243.5,9493873,0
2021/10/15,240,241.5,234.5,237,8452604,0
2021/10/18,249.5,255,242,243,11619726,0
2021/10/19,259,262,248,254,10739877,0
2021/10/20,254.5,258.5,252,258,8878035,0
2021/10/21,253,258,251,254.5,5544615,0
2021/10/22,244,251,243,249,8722997,0
2021/10/25,242.5,246,241,243.5,5511221,0
2021/10/26,244.5,250,244,246,6503126,0
2021/10/27,244.5,248.5,242,246,5428240,0
2021/10/28,252.5,254,244,246,9046939,0
2021/10/29,245,252,245,251,9703833,0
2021/11/1,257.5,259.5,245,246.5,11485773,0
2021/11/2,252,259.5,250.5,259.5,9387889,0
2021/11/3,247,252,246,252,7200313,0
2021/11/4,253.5,256,248.5,251,7958668,0
2021/11/5,262,263,254.5,257,10637637,0
2021/11/8,259.5,264,257,263,6751550,0
2021/11/9,266,266,262.5,263.5,7030050,0
2021/11/10,265,268,262.5,266,6120368,0
2021/11/11,259,263,258.5,262,4487025,0
2021/11/12,261,263.5,258.5,261,3726272,0
2021/11/15,260,263.5,259.5,262,4490883,0
2021/11/16,256,260,255,259,6463726,0
2021/11/17,261.5,262.5,254.5,257,6813010,0
2021/11/18,260,263.5,259,263,6024426,0
2021/11/19,261,262,260,262,3589329,0
2021/11/22,259,262,259,261,2280851,0
2021/11/23,255,258.5,255,258,4285585,0
2021/11/24,256,260,255.5,257.5,3196688,0
2021/11/25,259,262.5,258,261,4097542,0
2021/11/26,252,258,252,255.5,5776606,0
2021/11/29,253.5,255.5,250,251,3157124,0
2021/11/30,256,259,255,256,9761784,0
2021/12/1,258,259.5,256,256,2793210,0
2021/12/2,261.5,262,256,258.5,5643450,0
2021/12/3,261.5,264.5,260.5,264,4565537,0
2021/12/6,261,262.5,258.5,261,3633839,0
2021/12/7,263,265,260,263,3571998,0
2021/12/8,261,266,261,265,4135985,0
2021/12/9,269,269,262.5,264.5,7468533,0
2021/12/10,271,273,267.5,269,7171934,0
2021/12/13,270,274.5,268,274,5764469,0
2021/12/14,269,271.5,266,267.5,4325261,0
2021/12/15,267.5,269.5,265,268,4282767,0
2021/12/16,266,272.5,265.5,272.5,5685104,0
2021/12/17,269,269.5,264,266.5,5677521,0
2021/12/20,264,270,263.5,269,3239403,0
2021/12/21,266,268,264.5,265,2258089,0
2021/12/22,265.5,268,265.5,266.5,1601355,0
2021/12/23,270,270,266,266,3818504,0
2021/12/24,270.5,272.5,270,271,2108407,0
